,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
250,1662599768.249561,LEFT,0,0,-127,-60,0,0,0,82
251,1662599768.3351557,stand,0,0,-131,-60,0,0,0,82
252,1662599768.3716745,stand,0,0,-131,-60,0,0,0,82
253,1662599768.4321003,stand,0,0,-134,-60,0,0,0,82
254,1662599768.4852118,stand,0,0,-134,-60,0,0,0,82
255,1662599768.578225,stand,0,0,-136,-60,0,0,0,82
256,1662599768.6673121,stand,0,-1,-136,-60,0,0,0,82
257,1662599768.7373276,stand,0,-1,-136,-60,0,0,0,82
258,1662599768.8843877,stand,0,-1,-136,-60,0,0,0,82
259,1662599768.9199588,stand,0,-1,-136,-60,0,0,0,82
260,1662599769.0419502,stand,0,0,-136,-60,0,0,0,82
261,1662599769.1422153,stand,0,0,-136,-60,0,0,0,82
262,1662599769.227523,stand,0,0,-136,-60,0,0,0,82
263,1662599769.3295617,stand,0,0,-136,-60,0,0,0,82
264,1662599769.409033,stand,0,0,-136,-60,0,0,0,82
265,1662599769.5696921,stand,0,0,-136,-60,0,0,0,82
266,1662599769.7202141,stand,0,0,-136,-60,0,0,0,82
267,1662599770.0016942,UP,0,0,-136,-60,0,0,0,82
268,1662599770.0640461,UP,0,0,-136,-60,0,0,0,82
269,1662599770.1116102,UP,0,0,-136,-60,0,0,0,82
270,1662599770.196782,UP,0,0,-136,-60,0,0,0,82
271,1662599770.251204,UP,0,0,-136,-60,0,0,0,82
272,1662599770.4008732,UP,0,0,-136,-60,0,0,0,82
273,1662599770.5583751,UP,0,0,-136,-50,0,0,1,82
274,1662599770.6461146,UP,0,0,-136,-50,0,0,1,82
275,1662599770.8015394,UP,0,0,-136,-50,0,0,1,82
276,1662599770.9469223,UP,0,0,-136,-50,0,0,1,82
277,1662599771.041525,UP,0,0,-136,-50,0,0,1,82
278,1662599771.1145523,UP,0,0,-136,-50,0,0,1,82
279,1662599771.2673106,UP,0,0,-136,-50,0,0,1,82
280,1662599771.3304026,UP,0,0,-136,-50,0,0,1,82
281,1662599771.3950343,UP,0,0,-136,-50,0,0,1,82
282,1662599771.4639475,UP,0,0,-136,-40,0,0,1,82
283,1662599771.5332334,UP,0,0,-136,-40,0,0,1,82
284,1662599771.7356634,UP,0,0,-136,-40,0,0,1,82
